                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5837,                 2.6311,                 1.6109,                0.48963,                0.62319,                0.59973,                0.25818,                      0,                    inf,                      0,               0.070227,              0.0033081,              0.0033081
                      1,                 1.4506,                 1.4288,                  1.461,                0.74936,                0.82585,                0.87437,                0.35683,                      0,                    inf,                      0,               0.040145,              0.0065592,              0.0065592
                      2,                 1.4459,                 1.3327,                 1.4525,                0.78228,                0.59965,                0.74574,                0.30151,                      0,                    inf,                      0,              0.0099804,              0.0097279,              0.0097279
                      3,                 1.4968,                 1.4229,                 1.4759,                0.53117,                0.77769,                0.74401,                0.26089,                      0,                    inf,                      0,              0.0096288,              0.0096288,              0.0096288
                      4,                 1.4857,                 1.2842,                 1.4788,                0.78016,                0.79707,                0.88932,                0.35787,                      0,                    inf,                      0,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.4747,                 1.2607,                 1.5065,                0.86298,                0.74376,                0.84263,                0.38058,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      6,                 1.4419,                 1.1887,                 1.4879,                 0.8713,                0.82636,                0.89107,                0.42841,                      0,                    inf,                      0,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.4288,                 1.1667,                 1.4703,                0.86631,                0.83016,                0.91073,                0.38149,                      0,                    inf,                      0,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.4172,                 1.1153,                 1.4597,                0.94493,                0.82071,                0.93329,                0.38313,                      0,                    inf,                      0,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.4009,                 1.1007,                  1.466,                0.86372,                 0.8151,                0.89603,                0.41198,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     10,                  1.384,                 1.0435,                 1.4289,                0.91027,                0.85178,                0.90023,                0.40234,                      0,                    inf,                      0,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.3478,                 1.0414,                 1.4217,                0.92411,                0.83116,                0.93023,                0.42837,                      0,                    inf,                      0,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.3728,                  1.031,                 1.4268,                0.92629,                    0.9,                 0.9585,                0.44122,                      0,                    inf,                      0,              0.0086388,              0.0086388,              0.0086388
                     13,                  1.313,                0.95742,                 1.3881,                0.88843,                0.92307,                0.94774,                0.42578,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     14,                 1.3255,                0.95846,                 1.3853,                0.91343,                0.90124,                0.95822,                0.48476,                      0,                    inf,                      0,              0.0083913,              0.0083913,              0.0083913
                     15,                 1.2884,                0.96392,                 1.3793,                0.95715,                0.85672,                0.94585,                0.46032,                      0,                    inf,                      0,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.2879,                0.92862,                   1.37,                0.90075,                0.91393,                0.94704,                0.44755,                      0,                    inf,                      0,              0.0081437,              0.0081437,              0.0081437
                     17,                 1.2853,                0.92417,                 1.3747,                0.95831,                0.93637,                0.97392,                0.50687,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     18,                 1.2523,                0.88703,                 1.3412,                0.92006,                0.94938,                0.97723,                0.50446,                      0,                    inf,                      0,              0.0078963,              0.0078963,              0.0078963
                     19,                 1.2487,                0.88909,                 1.3666,                0.92379,                 0.9503,                0.97834,                0.51081,                      0,                    inf,                      0,              0.0077725,              0.0077725,              0.0077725
                     20,                 1.2325,                0.82797,                 1.3339,                0.92952,                0.94115,                 0.9674,                0.51389,                      0,                    inf,                      0,              0.0076488,              0.0076488,              0.0076488
                     21,                 1.2184,                0.86046,                 1.3281,                0.94623,                0.95369,                0.96922,                0.53345,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     22,                 1.1987,                  0.805,                  1.319,                0.95092,                0.94897,                0.98018,                0.55698,                      0,                    inf,                      0,              0.0074013,              0.0074013,              0.0074013
                     23,                 1.1805,                0.81063,                 1.3136,                0.90084,                0.92189,                0.96667,                0.52154,                      0,                    inf,                      0,              0.0072775,              0.0072775,              0.0072775
                     24,                 1.2046,                 0.8135,                 1.3177,                0.97061,                0.89964,                0.96569,                0.54898,                      0,                    inf,                      0,              0.0071538,              0.0071538,              0.0071538
                     25,                 1.1766,                 0.7972,                 1.2934,                0.95054,                0.91755,                0.96122,                0.51903,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     26,                 1.1465,                0.77879,                 1.2722,                0.93079,                0.94442,                0.97815,                0.57198,                      0,                    inf,                      0,              0.0069063,              0.0069063,              0.0069063
                     27,                 1.1474,                0.76831,                 1.2803,                0.94795,                0.91811,                0.97817,                0.54716,                      0,                    inf,                      0,              0.0067825,              0.0067825,              0.0067825
                     28,                 1.1363,                0.73743,                 1.2686,                0.93708,                0.94577,                0.98346,                0.58427,                      0,                    inf,                      0,              0.0066587,              0.0066587,              0.0066587
                     29,                 1.1659,                0.74523,                 1.2841,                 0.9702,                0.94973,                0.98572,                0.57649,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     30,                 1.1281,                0.75799,                 1.2798,                0.94938,                0.96031,                0.98701,                0.52665,                      0,                    inf,                      0,              0.0064112,              0.0064112,              0.0064112
                     31,                 1.1071,                0.70695,                 1.2472,                0.94227,                0.96671,                0.97705,                0.53953,                      0,                    inf,                      0,              0.0062875,              0.0062875,              0.0062875
                     32,                 1.1123,                0.70523,                  1.254,                0.94656,                0.96756,                0.98112,                0.54678,                      0,                    inf,                      0,              0.0061637,              0.0061637,              0.0061637
                     33,                 1.0808,                    inf,                  1.236,                0.95646,                0.95256,                0.98369,                0.55621,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     34,                 1.0739,                0.66618,                 1.2265,                0.94654,                0.95161,                0.98363,                0.57807,                      0,                    inf,                      0,              0.0059163,              0.0059163,              0.0059163
                     35,                  1.071,                0.67043,                 1.2272,                0.97408,                0.97439,                 0.9894,                0.57808,                      0,                    inf,                      0,              0.0057925,              0.0057925,              0.0057925
                     36,                 1.0398,                0.64933,                 1.2166,                0.95379,                0.94951,                0.97523,                0.56783,                      0,                    inf,                      0,              0.0056688,              0.0056688,              0.0056688
                     37,                 1.0377,                0.67202,                 1.2133,                0.96781,                0.97356,                0.98565,                0.57684,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     38,                 1.0234,                0.64016,                  1.207,                0.95595,                0.94243,                0.97469,                0.54762,                      0,                    inf,                      0,              0.0054212,              0.0054212,              0.0054212
                     39,                 1.0113,                0.62678,                  1.186,                0.93133,                0.94818,                0.97412,                0.58281,                      0,                    inf,                      0,              0.0052975,              0.0052975,              0.0052975
                     40,                 1.0338,                0.63774,                 1.2211,                0.96622,                0.96236,                0.98226,                0.60649,                      0,                    inf,                      0,              0.0051737,              0.0051737,              0.0051737
                     41,                0.99959,                0.60985,                 1.1867,                0.98677,                0.92953,                0.98632,                0.59566,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     42,                0.99045,                0.61622,                 1.1833,                0.94459,                0.95159,                0.98438,                0.58961,                      0,                    inf,                      0,              0.0049263,              0.0049263,              0.0049263
                     43,                 1.0034,                0.61215,                 1.1871,                0.94516,                 0.9468,                0.97283,                0.61288,                      0,                    inf,                      0,              0.0048025,              0.0048025,              0.0048025
                     44,                 0.9764,                0.60249,                 1.1715,                 0.9355,                0.94538,                 0.9802,                0.59194,                      0,                    inf,                      0,              0.0046788,              0.0046788,              0.0046788
                     45,                0.96386,                 0.5674,                 1.1659,                0.97311,                0.94749,                 0.9774,                0.62969,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     46,                0.96559,                0.59283,                 1.1738,                0.94502,                0.93578,                0.97707,                0.62085,                      0,                    inf,                      0,              0.0044313,              0.0044313,              0.0044313
                     47,                0.93773,                    inf,                 1.1348,                0.93289,                0.96013,                0.97902,                0.62922,                      0,                    inf,                      0,              0.0043075,              0.0043075,              0.0043075
                     48,                0.93611,                    inf,                 1.1487,                0.96828,                0.93808,                0.97392,                0.59893,                      0,                    inf,                      0,              0.0041837,              0.0041837,              0.0041837
                     49,                0.94843,                0.56728,                 1.1533,                0.97852,                0.94557,                0.97732,                0.60756,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     50,                0.91643,                0.56316,                 1.1385,                0.93317,                0.96603,                0.97355,                0.62452,                      0,                    inf,                      0,              0.0039362,              0.0039362,              0.0039362
                     51,                0.91203,                0.54258,                 1.1367,                 0.9412,                 0.9715,                0.97936,                0.58419,                      0,                    inf,                      0,              0.0038125,              0.0038125,              0.0038125
                     52,                0.90828,                0.53156,                 1.1371,                0.97777,                0.92935,                0.98042,                0.58159,                      0,                    inf,                      0,              0.0036888,              0.0036888,              0.0036888
                     53,                0.89499,                0.53992,                 1.1221,                0.97228,                0.93735,                0.98014,                 0.5654,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     54,                0.88059,                0.51858,                 1.1152,                0.95817,                0.97748,                0.98387,                0.61442,                      0,                    inf,                      0,              0.0034413,              0.0034413,              0.0034413
                     55,                0.89223,                0.56228,                 1.1167,                0.93598,                0.97262,                0.97994,                0.62428,                      0,                    inf,                      0,              0.0033175,              0.0033175,              0.0033175
                     56,                 0.8784,                0.51271,                 1.1023,                0.95879,                0.95252,                0.97659,                0.62832,                      0,                    inf,                      0,              0.0031938,              0.0031938,              0.0031938
                     57,                0.85672,                0.49496,                 1.0948,                0.95982,                0.94672,                0.98103,                0.59369,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     58,                 0.8406,                 0.5027,                 1.0948,                 0.9689,                 0.9136,                0.97914,                0.59926,                      0,                    inf,                      0,              0.0029462,              0.0029462,              0.0029462
                     59,                0.84412,                0.49317,                 1.0939,                0.95058,                0.93937,                 0.9701,                0.60542,                      0,                    inf,                      0,              0.0028225,              0.0028225,              0.0028225
                     60,                0.84449,                0.48794,                 1.0919,                0.95276,                0.95636,                0.97849,                0.63428,                      0,                    inf,                      0,              0.0026987,              0.0026987,              0.0026987
                     61,                0.84451,                0.49396,                 1.0991,                0.95305,                0.97699,                0.98656,                0.60502,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     62,                0.81515,                0.48369,                 1.0876,                0.95606,                0.96388,                0.98104,                0.60141,                      0,                    inf,                      0,              0.0024513,              0.0024513,              0.0024513
                     63,                0.81423,                0.47397,                 1.0762,                0.93377,                0.94361,                0.97211,                0.58754,                      0,                    inf,                      0,              0.0023275,              0.0023275,              0.0023275
                     64,                0.80437,                0.47135,                 1.0705,                0.95535,                0.96024,                0.98016,                 0.5921,                      0,                    inf,                      0,              0.0022038,              0.0022038,              0.0022038
                     65,                0.80284,                0.45753,                 1.0698,                0.94019,                0.97129,                0.97943,                0.57908,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     66,                0.78865,                0.44465,                 1.0694,                  0.939,                0.95166,                0.97158,                0.59862,                      0,                    inf,                      0,              0.0019563,              0.0019563,              0.0019563
                     67,                0.77402,                0.45794,                 1.0666,                0.94205,                0.94852,                 0.9771,                0.61125,                      0,                    inf,                      0,              0.0018325,              0.0018325,              0.0018325
                     68,                0.77003,                0.44435,                 1.0618,                0.96118,                0.93252,                0.97488,                0.60429,                      0,                    inf,                      0,              0.0017087,              0.0017087,              0.0017087
                     69,                 0.7703,                0.45054,                 1.0561,                0.94144,                0.94678,                0.96974,                 0.6016,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     70,                0.77361,                0.41289,                 1.0639,                0.94032,                0.94567,                0.97148,                0.62388,                      0,                    inf,                      0,              0.0014612,              0.0014612,              0.0014612
                     71,                0.73226,                0.36744,                 1.0364,                0.95449,                0.94115,                0.97726,                 0.6139,                      0,                    inf,                      0,              0.0013375,              0.0013375,              0.0013375
                     72,                 0.7208,                0.34112,                 1.0269,                0.95411,                0.93758,                0.97637,                0.60837,                      0,                    inf,                      0,              0.0012138,              0.0012138,              0.0012138
                     73,                 0.7256,                0.35253,                 1.0411,                0.94975,                0.94478,                0.97382,                0.61615,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     74,                0.70013,                0.33166,                 1.0218,                0.94424,                0.95089,                0.97938,                0.63021,                      0,                    inf,                      0,             0.00096625,             0.00096625,             0.00096625
                     75,                 0.6876,                0.33158,                 1.0075,                 0.9442,                0.95039,                0.97851,                0.61767,                      0,                    inf,                      0,              0.0008425,              0.0008425,              0.0008425
                     76,                0.69733,                0.32863,                 1.0151,                0.94983,                0.93635,                0.97696,                0.61788,                      0,                    inf,                      0,             0.00071875,             0.00071875,             0.00071875
                     77,                0.67282,                0.32031,                0.99823,                0.93415,                0.94854,                0.97739,                0.61825,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     78,                0.65669,                0.31066,                0.98909,                0.94451,                0.94572,                0.97594,                0.62555,                      0,                    inf,                      0,             0.00047125,             0.00047125,             0.00047125
                     79,                0.65829,                0.35096,                 0.9973,                0.94432,                0.94821,                0.98082,                0.62567,                      0,                    inf,                      0,              0.0003475,              0.0003475,              0.0003475
